tipo_cultivo,ubicacion_geografica,tamano_finca,rendimiento_cultivo,uso_fertilizantes,precio_venta (€/kg)
Tomates,"Acceso de Alejo Viana 370 Puerta 2 
Vizcaya, 04933",97,482,No,7
Tomates,"Ronda África Varela 502 Apt. 12 
Zaragoza, 45237",86,166,Sí,3
Tomates,"Paseo Manuel Pallarès 5
Cáceres, 34116",10,826,No,8
Tomates,"Calle de Cayetano Peñalver 561
Pontevedra, 30325",5,295,Sí,3
Tomates,"Plaza Jose Ignacio Vicens 7
Madrid, 36321",88,511,Sí,1
Tomates,"Glorieta de Manola Diaz 812 Puerta 9 
Cuenca, 19366",77,140,No,7
Tomates,"Glorieta de Demetrio Ugarte 50
Soria, 20433",8,516,Sí,5
Tomates,"Urbanización de Esteban Guillen 507
Barcelona, 08405",17,599,No,5
Tomates,"C. Américo Oliver 896
Castellón, 27221",77,914,No,2
Tomates,"Urbanización de Bernardino Crespi 39 Piso 6 
Lleida, 07075",18,687,Sí,8
Tomates,"Paseo Juanito Baró 50 Apt. 48 
Barcelona, 02016",53,144,Sí,1
Tomates,"Acceso Simón Nicolau 29
Ceuta, 24861",4,556,No,4
Tomates,"Cañada de Victorino Puerta 93
Las Palmas, 46227",60,779,Sí,4
Tomates,"Rambla de Dorotea Nicolau 249
Soria, 21565",48,993,No,1
Tomates,"Avenida de Ricardo Verdugo 25
Castellón, 26637",50,386,Sí,8
Tomates,"Pasadizo de Maribel Montes 87
Jaén, 29792",22,314,Sí,6
Tomates,"Cuesta Ángel Garrido 29
Ciudad, 32705",56,445,No,4
Tomates,"Cañada Joaquina Torrent 12 Apt. 21 
Toledo, 15424",68,185,No,4
Tomates,"Acceso Florina Salas 8 Piso 1 
Zamora, 02781",94,490,Sí,6
Tomates,"Via Albert Sacristán 48
Barcelona, 19050",70,723,No,5
Tomates,"Acceso Adán Ledesma 18 Puerta 3 
Córdoba, 28993",65,164,Sí,7
Tomates,"Pasaje Pablo Zamorano 14
Pontevedra, 20297",95,152,No,4
Tomates,"Glorieta de Rico Dávila 623
Baleares, 41861",80,428,No,7
Tomates,"Paseo de Bernardino Ordóñez 37
Sevilla, 34022",11,333,Sí,8
Tomates,"Via Marciano Macías 78
La Rioja, 08158",67,245,Sí,1
Tomates,"Glorieta José Vallejo 79
La Rioja, 46943",99,812,Sí,3
Tomates,"Acceso de Adoración Seco 4 Piso 3 
Vizcaya, 40205",7,874,No,5
Tomates,"Rambla Felicia Recio 665
Cantabria, 40262",18,401,No,8
Tomates,"Cuesta Leocadio Peñas 87 Piso 0 
León, 15726",17,791,No,6
Tomates,"Glorieta de Goyo Alberto 6 Apt. 15 
Sevilla, 37482",75,607,Sí,3
Tomates,"Pasadizo Gustavo Jódar 39 Piso 3 
Cuenca, 50653",31,969,No,4
Tomates,"Cañada Bibiana Sans 5 Piso 8 
Cantabria, 03310",83,234,Sí,2
Tomates,"Vial Natalia Llorens 32 Puerta 0 
Ávila, 16707",44,744,Sí,1
Tomates,"Glorieta de Rosa Aller 2
Cádiz, 47781",44,411,Sí,6
Tomates,"Callejón de Herminia Expósito 64 Puerta 1 
Santa Cruz de Tenerife, 41896",63,485,No,7
Tomates,"Alameda Emigdio Losa 53 Puerta 2 
Lleida, 39647",46,379,Sí,5
Tomates,"Paseo Victorino Tolosa 73 Piso 5 
Ceuta, 34324",86,661,No,6
Tomates,"Vial Yéssica Pombo 18 Puerta 7 
Madrid, 14823",84,152,No,2
Tomates,"Rambla María Carmen Artigas 96 Puerta 7 
Jaén, 44092",52,243,Sí,7
Tomates,"Plaza de Eutimio Pascual 178 Puerta 4 
Zaragoza, 38145",6,643,No,7
Tomates,"Callejón Fanny Pinilla 4
Las Palmas, 10111",91,154,Sí,2
Tomates,"Via de Moisés Maldonado 685 Apt. 39 
Albacete, 26655",21,757,No,5
Tomates,"Glorieta de Socorro Landa 39 Puerta 2 
La Coruña, 33543",20,465,Sí,3
Tomates,"Pasaje Cecilio Palomo 992
Vizcaya, 33839",97,359,No,1
Tomates,"Paseo Gala Jáuregui 6 Piso 0 
Álava, 38459",13,552,No,3
Tomates,"Via Ruperta Morán 51
Soria, 20588",32,528,Sí,6
Tomates,"Pasaje Alejandra Herrero 3 Puerta 5 
Baleares, 42220",76,654,Sí,6
Tomates,"Acceso de Paulina Aguilar 650 Apt. 53 
Albacete, 39249",73,756,No,6
Tomates,"Camino de Teófila Arcos 83 Puerta 4 
Albacete, 39303",18,793,No,1
Tomates,"Paseo Evita Alcántara 896 Apt. 52 
Ciudad, 37671",74,934,Sí,7
Tomates,"Acceso de Teófilo Conde 42 Puerta 0 
Sevilla, 02715",34,573,No,6
Tomates,"Camino de Reina Salazar 87
Baleares, 37956",35,170,Sí,5
Tomates,"Pasadizo Estela Prats 94 Apt. 25 
Cádiz, 26791",64,200,No,3
Tomates,"Pasaje Elpidio Sancho 15 Puerta 3 
Cuenca, 21595",64,641,Sí,3
Tomates,"Via de Cesar Clavero 557
Álava, 08271",91,502,Sí,1
Tomates,"Vial Evelia Arana 86 Puerta 2 
Vizcaya, 26154",19,248,Sí,5
Tomates,"Pasadizo Dafne Palomino 585
Cádiz, 02889",3,450,No,7
Tomates,"Avenida de Chus Prieto 12
Palencia, 22372",34,584,No,2
Tomates,"Pasadizo de Tecla Almansa 706 Apt. 91 
León, 16712",32,184,Sí,8
Tomates,"Avenida Ani Ripoll 58
Vizcaya, 31075",17,423,No,6
Tomates,"Via Valentina Gutierrez 87 Apt. 57 
Melilla, 38012",61,962,No,7
Tomates,"Camino Amancio Martínez 418
Madrid, 48448",69,918,Sí,3
Tomates,"Pasadizo de Juana Zabala 9 Apt. 11 
Álava, 20250",12,687,No,7
Tomates,"Pasaje de Manuel Vilar 278 Puerta 5 
Zamora, 22819",8,528,Sí,7
Tomates,"Acceso de María Pilar Uriarte 27 Piso 1 
Jaén, 14080",91,586,Sí,7
Tomates,"Urbanización Lucas Azcona 638
Zaragoza, 07470",8,726,Sí,1
Tomates,"Pasaje de Emilio Mosquera 153 Piso 4 
Lugo, 33959",15,795,No,7
Tomates,"C. de Teodoro Almagro 24
Valladolid, 28627",56,760,No,1
Tomates,"Urbanización de Arsenio Tudela 92
Alicante, 33518",6,569,No,4
Tomates,"Ronda Débora Alemany 51 Apt. 42 
Lleida, 40450",29,754,Sí,2
Tomates,"Vial de Silvio Cañellas 11
Asturias, 30912",50,592,Sí,5
Tomates,"Vial Renata Vidal 58 Piso 0 
Las Palmas, 21895",43,943,No,5
Tomates,"Via de Serafina Ribes 28 Puerta 8 
Navarra, 26222",57,255,Sí,2
Tomates,"Vial de Olivia Menéndez 69 Apt. 24 
Zamora, 19851",39,646,No,2
Tomates,"Glorieta de Teófila Guzmán 6
Zamora, 09397",68,240,Sí,1
Tomates,"Vial de Eligia Salvador 47
Valencia, 28743",41,324,No,5
Tomates,"Cuesta Álvaro Montes 67
Valladolid, 14784",17,437,No,5
Tomates,"Rambla de Marc Vilalta 5 Apt. 32 
Cádiz, 29130",61,782,No,5
Tomates,"C. de Hernán Marti 21 Apt. 72 
Santa Cruz de Tenerife, 42640",97,677,Sí,8
Tomates,"Ronda de Gabriel Frutos 247
Valencia, 39427",46,631,Sí,5
Tomates,"Pasadizo de Flor Arcos 90
Cantabria, 42703",39,940,No,1
Tomates,"Pasadizo Federico Castell 5 Piso 9 
Toledo, 11322",1,827,Sí,4
Tomates,"Ronda Florina Guillén 52
Córdoba, 34611",47,583,No,6
Tomates,"Cuesta de Andrés Felipe Marco 87
Barcelona, 15080",70,562,No,5
Tomates,"C. Plácido Villalba 22
Asturias, 11981",63,270,No,7
Tomates,"Alameda Eugenio Berrocal 6
Murcia, 17147",22,714,Sí,6
Tomates,"Vial de Perla Mínguez 7
Ourense, 35979",17,742,No,1
Tomates,"Calle Graciano Fortuny 469 Piso 5 
Ourense, 24474",90,649,No,3
Tomates,"Callejón de Francisca Saavedra 20 Piso 8 
Badajoz, 25134",58,366,No,6
Tomates,"Calle de Ofelia Fábregas 19 Apt. 27 
Vizcaya, 28727",57,454,No,6
Tomates,"Paseo de Ceferino Colomer 15 Puerta 9 
Córdoba, 15372",57,887,No,6
Tomates,"Acceso de Rosendo Casas 612 Puerta 7 
Tarragona, 26381",15,396,No,6
Tomates,"Rambla de Angelina Domínguez 173 Apt. 48 
Lleida, 19241",46,954,Sí,2
Tomates,"Pasadizo Hernán Rueda 65 Piso 7 
Baleares, 09499",31,868,No,3
Tomates,"Rambla de Nando Parra 80
Murcia, 40093",2,189,Sí,4
Tomates,"Via de María Fernanda España 694
Melilla, 37641",72,451,No,6
Tomates,"Paseo Elena Cazorla 42 Apt. 83 
Salamanca, 14226",15,993,Sí,2
Tomates,"Vial de Cipriano Gilabert 83
Ceuta, 39066",20,847,Sí,7
Tomates,"Glorieta de Diego Tormo 879
Ciudad, 36299",23,877,No,1
Tomates,"Avenida Concha Sarabia 568
Lugo, 05172",24,732,No,8
Tomates,"Camino Paco Barceló 9 Puerta 9 
Álava, 36020",75,843,No,7
Tomates,"Callejón Leopoldo Aguiló 85 Apt. 39 
Asturias, 01873",3,207,Sí,8
Tomates,"Rambla de Iris Canales 150
Zamora, 39634",6,899,Sí,2
Tomates,"Glorieta Silvestre Puig 706
Alicante, 14218",33,147,Sí,7
Tomates,"Cañada de Juan Manuel Lloret 54
León, 30857",46,122,No,5
Tomates,"Callejón de Lara Baños 156 Puerta 0 
Guipúzcoa, 39516",21,894,No,5
Tomates,"Pasadizo de Florencio Iriarte 869 Piso 3 
Jaén, 14018",68,711,No,2
Tomates,"Paseo de Cecilia Ferrándiz 93 Piso 7 
Valladolid, 19500",22,162,No,5
Tomates,"Cañada de Ángel Alcalde 205
Castellón, 30411",57,547,Sí,6
Tomates,"Paseo Lilia Garzón 18 Puerta 3 
Valencia, 19838",37,633,No,3
Tomates,"Cañada de Juan Luis Peñas 15 Piso 5 
Zaragoza, 16140",70,334,No,5
Tomates,"Calle Teo Rivero 923 Apt. 47 
Navarra, 22150",6,575,Sí,2
Tomates,"Cuesta Anastasio Higueras 601 Apt. 38 
Madrid, 36526",18,464,No,4
Tomates,"Alameda de Faustino Córdoba 790 Piso 8 
Navarra, 29708",61,337,No,2
Tomates,"Pasaje de Juanito Espejo 44 Apt. 05 
Ávila, 47375",71,265,No,8
Tomates,"Glorieta Gerardo Feliu 56
Córdoba, 38282",17,740,Sí,2
Tomates,"Callejón Silvia Arellano 71
Segovia, 07502",97,921,Sí,6
Tomates,"Callejón de Leandra Casanova 94
Girona, 31922",49,388,No,4
Tomates,"Callejón Nilo Fernandez 98
Valencia, 01019",45,293,No,1
Tomates,"Paseo de Isidro Sáez 408 Piso 2 
La Coruña, 34879",53,715,Sí,5
Tomates,"Cuesta Sigfrido Ferrández 57
Baleares, 25401",21,975,Sí,3
Tomates,"Cuesta Eliseo Bernal 799
Albacete, 32618",22,484,No,4
Tomates,"Plaza Humberto Luque 15 Puerta 3 
Valencia, 28941",14,968,Sí,7
Tomates,"Paseo Efraín Baeza 53 Puerta 0 
Asturias, 50057",40,537,No,8
Tomates,"Cuesta Arsenio Vera 60
Albacete, 23970",11,752,Sí,4
Tomates,"Pasaje Manuelita Rico 800
Toledo, 45267",9,403,Sí,7
Tomates,"Alameda Fabiola Jiménez 45 Puerta 1 
Granada, 45411",23,386,No,6
Tomates,"Camino Socorro Mateos 253 Apt. 08 
Navarra, 04627",39,682,Sí,5
Tomates,"Cuesta Nerea Corral 12 Apt. 27 
Barcelona, 07029",6,146,Sí,3
Tomates,"Vial Edelmiro Guillen 694 Puerta 0 
Barcelona, 51830",8,398,No,2
Tomates,"Vial de Amarilis Sevillano 19 Piso 4 
Girona, 01804",66,726,No,4
Tomates,"Urbanización de Inmaculada Cid 78 Piso 3 
Cáceres, 26405",3,906,No,3
Tomates,"Camino Itziar Otero 820 Piso 8 
Ceuta, 19201",60,379,No,7
Tomates,"Glorieta de Tito Alberola 7 Piso 6 
Álava, 49299",54,645,Sí,3
Tomates,"Callejón de Feliciana Arnau 800
Málaga, 30291",16,974,No,3
Tomates,"Camino de Flor Carretero 669
Salamanca, 47821",88,118,Sí,2
Tomates,"Rambla Edelmira Boix 70 Piso 4 
Valladolid, 14320",98,577,No,2
Tomates,"Cuesta Aura Giner 69 Apt. 30 
Pontevedra, 30176",74,113,Sí,7
Tomates,"Cañada Eric Querol 99 Apt. 67 
León, 28612",11,240,No,5
Tomates,"Avenida Micaela Nicolau 8 Apt. 12 
Melilla, 06867",50,960,Sí,5
Tomates,"Pasadizo de América Almeida 864 Puerta 7 
Las Palmas, 44894",67,761,No,2
Tomates,"Rambla de Caridad Chaves 13 Puerta 7 
Soria, 36821",9,285,No,1
Tomates,"Urbanización de María Del Carmen Mayoral 758
Santa Cruz de Tenerife, 21916",65,996,No,4
Tomates,"Paseo de Gerardo Clavero 55 Piso 1 
Castellón, 04733",66,688,No,7
Tomates,"C. Leire Cárdenas 676 Piso 1 
Huelva, 39877",5,789,No,4
Tomates,"Cañada de Eustaquio Araujo 63
Teruel, 23823",34,529,Sí,3
Tomates,"Callejón Marina Roman 82 Puerta 1 
Barcelona, 02405",21,694,No,1
Tomates,"Urbanización de Horacio Sarmiento 143
Almería, 14993",34,190,Sí,1
Tomates,"Callejón de Vidal Alcalá 78
Las Palmas, 20861",81,525,Sí,5
Tomates,"Paseo de Rolando Llorente 99
Segovia, 37589",20,909,Sí,1
Tomates,"Calle Roque Vall 3
Madrid, 31935",95,158,No,4
Tomates,"Glorieta de Valerio Castilla 3 Piso 9 
Guadalajara, 48433",29,332,Sí,3
Tomates,"Cuesta de Manuel Morell 698
Cantabria, 37395",88,748,No,8
Tomates,"Alameda de Lorenzo Verdugo 26
Granada, 37925",93,415,No,5
Tomates,"C. Marta Llabrés 62
Palencia, 02918",55,448,No,5
Tomates,"Rambla de Custodia Font 579
Soria, 31341",86,588,No,8
Tomates,"Cañada Gala Ayala 14
Valencia, 06350",88,876,Sí,7
Tomates,"Pasadizo Jordana Alvarado 97 Piso 0 
Melilla, 51844",42,171,Sí,6
Tomates,"Cuesta Eli Garay 77
Lleida, 31095",70,158,No,2
Tomates,"Callejón Noé Valentín 7 Piso 7 
Sevilla, 20416",29,392,Sí,4
Tomates,"Pasadizo Marcelino Zaragoza 9
Ceuta, 22646",37,602,Sí,4
Tomates,"Alameda Celestina Prats 9
Las Palmas, 45030",73,210,Sí,5
Tomates,"Urbanización Dominga Prats 3 Puerta 7 
Álava, 49308",89,549,No,2
Tomates,"Pasadizo de Aníbal Vergara 566 Apt. 90 
La Rioja, 48899",79,887,Sí,5
Tomates,"Avenida Anacleto Medina 93
Murcia, 01467",4,775,No,6
Tomates,"Glorieta Cornelio Escobar 44 Puerta 7 
Guipúzcoa, 25980",10,818,No,3
Tomates,"Urbanización Eva Garcés 2 Apt. 52 
Asturias, 15384",59,541,No,5
Tomates,"Paseo Rosaura Bolaños 11 Apt. 73 
Salamanca, 02394",24,484,Sí,5
Tomates,"Urbanización Eulalia Gomis 1 Piso 3 
Jaén, 22672",45,869,Sí,4
Tomates,"Urbanización Loreto Solano 4
Cantabria, 08963",62,138,Sí,2
Tomates,"Camino de Haydée Espinosa 371
Alicante, 12944",10,705,Sí,4
Tomates,"Via Georgina Mariscal 2
Madrid, 40720",1,557,Sí,5
Tomates,"Cañada Eustaquio Fonseca 4 Puerta 1 
Lleida, 23537",72,719,No,2
Tomates,"Plaza Chuy Osuna 3
Huelva, 50179",95,207,Sí,8
Tomates,"Plaza Florentino Carrera 7
Teruel, 48693",79,792,No,7
Tomates,"Rambla Odalys Barceló 95
Segovia, 02844",27,784,No,2
Tomates,"Alameda Flavia Higueras 6 Puerta 0 
Ciudad, 09171",62,915,Sí,5
Tomates,"Avenida Nicanor Hierro 8 Puerta 9 
Zaragoza, 46240",90,804,No,6
Tomates,"Paseo de Teobaldo Sobrino 80
Cádiz, 07884",25,400,Sí,5
Tomates,"Camino Isaac Escolano 1 Puerta 8 
Melilla, 31268",81,251,Sí,6
Tomates,"Alameda Isidora Saez 29
Barcelona, 19512",82,653,No,8
Tomates,"Calle de Albina Manuel 632
Zamora, 15816",51,677,No,1
Tomates,"C. Bautista Gilabert 38
Baleares, 12248",57,166,Sí,8
Tomates,"Via Adalberto Conesa 7
Ávila, 02148",4,131,No,4
Tomates,"Rambla de Daniela Tirado 4
Teruel, 23034",10,208,Sí,4
Tomates,"Pasadizo Teófilo Sebastián 3
Álava, 51358",34,915,Sí,6
Tomates,"Urbanización Ambrosio Bauzà 9 Piso 1 
Madrid, 31982",26,562,No,1
Tomates,"Vial de Eva Puerta 714
Almería, 25702",30,293,No,5
Tomates,"Cañada de Tristán Calleja 62 Piso 2 
Soria, 01519",76,416,No,7
Tomates,"Pasadizo Ambrosio Ibáñez 4
Valladolid, 37665",65,908,Sí,1
Tomates,"Paseo Nereida Castañeda 822 Piso 7 
Castellón, 21698",25,891,Sí,2
Tomates,"C. de Lucio Saavedra 93 Puerta 4 
Toledo, 45799",50,805,No,5
Tomates,"C. Zoraida Anguita 87 Piso 1 
Barcelona, 15433",32,709,Sí,2
Tomates,"Vial de Margarita Echevarría 4
Vizcaya, 17612",81,645,No,2
Tomates,"Via Manu Cárdenas 89
Palencia, 08431",19,218,Sí,2
Tomates,"Vial Edmundo Gisbert 48 Piso 8 
Cantabria, 32573",18,411,No,5
Tomates,"Cuesta de Anacleto Llopis 2
Almería, 36755",50,744,Sí,6
Tomates,"Via Epifanio Bárcena 11
Pontevedra, 19307",69,570,Sí,6
Tomates,"Avenida de Florencio Palomar 705
Segovia, 37707",8,231,No,7
Tomates,"Vial de Ernesto Tenorio 443
Málaga, 46534",20,472,No,5
Tomates,"Avenida Amada Vargas 708
Girona, 13303",30,512,No,7
Tomates,"Cañada Mauricio Iglesias 29
Palencia, 02919",91,939,No,2
Tomates,"Ronda Carolina Lucas 57 Piso 5 
Ciudad, 46231",99,860,Sí,3
Tomates,"Paseo de Raúl Pacheco 69 Piso 5 
Granada, 06425",92,631,No,1
Tomates,"Glorieta de Norberto Guerra 8
Pontevedra, 05613",78,340,Sí,6
Tomates,"Alameda Eloy Macías 834
Sevilla, 30156",87,494,Sí,1
Tomates,"Cañada María Cristina Pineda 5 Apt. 07 
Soria, 03142",83,616,No,3
Tomates,"Calle de Cayetana Hoyos 979 Apt. 51 
Vizcaya, 35732",27,618,No,5
Tomates,"Vial de Pánfilo Manzanares 803 Puerta 8 
La Coruña, 17045",6,460,No,5
Tomates,"Camino de Gerardo Uría 6 Puerta 4 
Cáceres, 18953",43,705,No,6
Tomates,"Ronda de Marisol Cuevas 28
Huesca, 08993",70,449,Sí,6
Tomates,"Avenida de Selena Pomares 74 Piso 5 
Soria, 42720",65,651,Sí,2
Tomates,"Alameda de Curro Cañete 75
Ávila, 22257",38,940,Sí,7
Tomates,"Via de Sarita Cornejo 510 Apt. 34 
Castellón, 11195",39,894,Sí,7
Tomates,"Pasaje de Agapito Guzmán 8 Piso 8 
Badajoz, 50453",94,274,No,4
Tomates,"Pasaje Florentino Patiño 47
Ourense, 37326",8,556,No,1
Tomates,"Cañada de Chucho Bayo 15 Puerta 0 
La Rioja, 33084",39,581,No,7
Tomates,"C. de Aroa Cuesta 93 Puerta 1 
Sevilla, 04045",52,940,Sí,6
Tomates,"Alameda Florentina Torrecilla 93
Málaga, 02338",49,310,Sí,4
Tomates,"Glorieta Quique Acedo 26
Soria, 49737",31,855,Sí,3
Tomates,"Callejón Sabina Estrada 70 Apt. 72 
Cádiz, 31376",69,736,No,4
Tomates,"Glorieta de Camila Cabeza 2 Piso 8 
Barcelona, 42029",41,671,No,6
Tomates,"Paseo de Alberto Morera 305 Piso 9 
Asturias, 08649",98,249,No,3
Tomates,"Urbanización de Kike Llorens 53 Puerta 7 
Cuenca, 24402",47,397,No,1
Tomates,"Acceso Bernardita Checa 810 Apt. 07 
Melilla, 02219",12,579,No,8
Tomates,"Urbanización Ildefonso Ferrando 5 Puerta 6 
Las Palmas, 46105",25,901,No,3
Tomates,"Pasaje de Corona Aliaga 585 Apt. 17 
Las Palmas, 31193",65,157,Sí,5
Tomates,"Glorieta de María Carmen Luz 196 Puerta 1 
Baleares, 49015",66,256,No,8
Tomates,"Callejón de Teresita Sanchez 81
Jaén, 09324",83,432,Sí,2
Tomates,"Avenida de Viviana Ramirez 84 Apt. 75 
Córdoba, 45532",23,543,No,3
Tomates,"Ronda Ámbar Daza 46
Melilla, 50930",41,379,No,7
Tomates,"Pasadizo Encarnita Pi 866 Puerta 8 
León, 31692",42,335,Sí,5
Tomates,"Glorieta de Aureliano Lillo 998
Pontevedra, 21687",98,213,Sí,8
Tomates,"Via de Augusto Alberdi 52
Girona, 13854",12,667,Sí,5
Tomates,"Camino de Encarnación Carpio 758
Alicante, 49780",72,164,No,2
Tomates,"Cuesta Loreto Alcántara 5
Ourense, 28832",40,680,Sí,1
Tomates,"Rambla Adriana Tovar 9 Apt. 71 
Badajoz, 48040",56,839,Sí,6
Tomates,"Callejón de Eusebio Lozano 255
Albacete, 39532",14,137,No,3
Tomates,"Plaza de Lope Benavides 597
Segovia, 12308",29,748,No,1
Tomates,"Paseo de Reyes Blanch 5 Puerta 6 
Alicante, 20568",52,381,No,2
Tomates,"Via de Alcides Sacristán 33
Murcia, 46403",34,800,No,3
Tomates,"Glorieta Baltasar Corominas 36 Piso 2 
Baleares, 41345",79,811,No,2
Tomates,"Vial Juan Manuel Sáez 73
Barcelona, 34854",52,520,No,4
Tomates,"Paseo de Filomena Mora 9 Apt. 95 
Lugo, 41955",82,264,Sí,4
Tomates,"Acceso de Santos Sanmiguel 17
Madrid, 21382",52,497,No,1
Tomates,"Glorieta de Amor Jurado 8 Puerta 2 
Santa Cruz de Tenerife, 25966",33,123,Sí,6
Tomates,"Ronda de Cándida Sevilla 54
Cantabria, 49117",44,286,No,6
Tomates,"Paseo de Xavier Burgos 2 Puerta 4 
Ceuta, 26001",8,916,Sí,8
Tomates,"Pasaje Rosalva Oliver 4 Apt. 13 
Cuenca, 48773",93,464,No,7
Tomates,"Cuesta Jesusa Escobar 10 Piso 4 
Murcia, 32413",11,293,Sí,4
Tomates,"Cañada de Pili Antón 474 Puerta 8 
Ourense, 01244",74,747,No,4
Tomates,"Callejón de Saturnino Echeverría 3
Lugo, 11385",16,781,No,2
Tomates,"Paseo de Toni Rius 47 Piso 3 
La Rioja, 29540",17,535,No,1
Tomates,"Vial de Olalla Tovar 13
Cáceres, 37453",28,584,No,6
Tomates,"Callejón de Anselma Solera 42 Puerta 3 
Melilla, 42980",23,827,Sí,7
Tomates,"Urbanización de Dionisio Arias 42 Apt. 16 
Vizcaya, 31826",10,865,Sí,7
Tomates,"Camino Fidel Arnaiz 469
Almería, 18078",83,293,No,5
Tomates,"C. de Bernardino Beltrán 18 Puerta 3 
Las Palmas, 08166",80,546,Sí,4
Tomates,"Rambla de María Belén Tejero 45
Jaén, 36636",89,586,Sí,5
Tomates,"Pasadizo Rosalinda Niño 4
Ourense, 47952",5,554,No,1
Tomates,"C. de Adelardo Peñalver 25
Zamora, 08172",96,468,No,6
Tomates,"Vial de Aitana Requena 54
Segovia, 48612",57,689,No,3
Tomates,"Cañada de Manola Carrión 60 Piso 2 
La Rioja, 16935",9,634,No,7
Tomates,"C. Juan Bautista Izaguirre 25
La Coruña, 12429",99,310,Sí,6
Tomates,"Avenida Arturo Mulet 482
Santa Cruz de Tenerife, 48836",24,736,Sí,7
Tomates,"Pasaje de Jose Ignacio Flores 37 Puerta 0 
La Coruña, 19652",70,359,Sí,3
Tomates,"Avenida Amando Mesa 84 Piso 9 
Granada, 24620",24,105,No,5
Tomates,"Vial de Antonio Ramis 4
Ourense, 16868",32,936,No,6
Tomates,"Alameda Leandra Olmo 2
Cantabria, 42351",41,144,Sí,8
Tomates,"Acceso Carmelo Peñalver 81 Puerta 2 
Murcia, 37393",7,379,Sí,3
Tomates,"Glorieta de Emilio Barreda 63 Piso 4 
Zamora, 06608",7,894,Sí,8
Tomates,"Rambla de Isaac España 15 Piso 6 
Cáceres, 37001",70,499,Sí,2
Tomates,"Calle de Mario Real 9
Valladolid, 47213",99,931,No,4
Tomates,"Glorieta Clímaco Larrea 28 Puerta 0 
Asturias, 40748",9,790,No,8
Tomates,"Calle de Sandalio Verdú 53
Asturias, 26180",25,754,No,4
Tomates,"Urbanización de Celestino Pavón 42 Piso 2 
Burgos, 01321",28,240,No,3
Tomates,"Via de Aroa Ibañez 99
Toledo, 20357",85,639,No,8
Tomates,"Ronda Reyna Carballo 216 Puerta 3 
Barcelona, 26524",54,324,Sí,5
Tomates,"Glorieta de Fidel Rios 3 Piso 1 
La Rioja, 41894",91,475,No,2
Tomates,"Cuesta de Jerónimo Olmo 61
Lugo, 36851",74,692,No,2
Tomates,"C. Evita Heras 5
Cantabria, 24625",83,805,Sí,1
Tomates,"Cuesta Rosaura Llobet 86 Puerta 6 
Navarra, 27985",8,238,Sí,1
Tomates,"Acceso Jose Angel Armas 752 Puerta 8 
Ourense, 38206",33,697,Sí,7
Tomates,"Cuesta Alba Expósito 7 Apt. 49 
Zaragoza, 20311",7,678,No,4
Tomates,"Alameda de José Valcárcel 5
Madrid, 27835",20,169,No,3
Tomates,"Vial de Adela Salcedo 1 Piso 7 
Segovia, 12738",89,896,Sí,7
Tomates,"Urbanización Jose Francisco Almansa 17
Teruel, 18835",78,546,No,8
Tomates,"Cuesta Lucho Aguilera 683
Sevilla, 36411",69,478,No,4
Tomates,"Cuesta de Guiomar Mata 576 Apt. 83 
La Rioja, 48326",75,168,No,3
Tomates,"Alameda de Marisol Jurado 94 Apt. 96 
Lugo, 12603",48,365,No,5
Tomates,"Vial Albano Lastra 10
Cuenca, 16580",57,120,Sí,1
Tomates,"Acceso de Loreto Palma 81
Cuenca, 25615",25,928,Sí,6
Tomates,"Cañada Samanta Losada 65
Albacete, 06095",27,789,No,6
Tomates,"Cuesta Jose Ignacio Román 74 Apt. 86 
Zamora, 07022",4,727,Sí,2
Tomates,"Callejón de Ana Carrasco 238
León, 42533",82,638,No,2
Tomates,"Paseo Gracia Arjona 14 Puerta 6 
La Coruña, 44683",82,640,Sí,6
Tomates,"Vial Azucena Saez 499 Apt. 43 
Valladolid, 26014",17,780,Sí,3
Tomates,"Vial Angelina Rocamora 642 Piso 2 
Palencia, 19285",71,255,No,5
Tomates,"C. Olalla Palomares 91
Asturias, 31129",5,169,No,1
Tomates,"Paseo Héctor Donoso 7 Apt. 72 
Asturias, 02295",55,167,Sí,7
Tomates,"Glorieta de Juan Antonio Jordán 43 Piso 6 
Guadalajara, 08058",70,894,No,8
Tomates,"Avenida Rosalina Rincón 48
Álava, 36423",84,247,No,2
Tomates,"Acceso Olalla Vázquez 50 Puerta 6 
Albacete, 37648",20,471,No,4
Tomates,"Pasaje de Paula Vila 64
Alicante, 10344",63,352,Sí,1
Tomates,"Pasaje Roberta Hervás 6 Puerta 7 
Huesca, 04840",66,197,No,8
Tomates,"Paseo Amado Arranz 67
Alicante, 47120",30,335,Sí,8
Tomates,"Via Isaías Tejada 85
Zamora, 11541",63,834,Sí,4
Tomates,"Ronda Eulalia Urrutia 2
Cádiz, 43209",64,808,Sí,7
Tomates,"C. de Beatriz Barbero 80 Apt. 67 
Murcia, 52061",66,571,No,6
Tomates,"Camino de Chuy Galiano 8 Apt. 75 
Teruel, 51260",73,882,No,5
Tomates,"Alameda Florentino Escrivá 62 Apt. 46 
Alicante, 48834",76,959,Sí,7
Tomates,"Avenida Ulises Revilla 9 Apt. 15 
Ciudad, 34969",80,791,Sí,8
Tomates,"Glorieta Lupita Dominguez 433 Puerta 5 
Valencia, 25844",60,873,Sí,5
Tomates,"Cuesta Carmina Benítez 5
Zamora, 04296",50,795,No,1
